rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2009_887,1,1,temporary,632600,164100,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,1,2,temporary,632900,160000,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,1,3,temporary,632500,160000,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,1,4,temporary,632200,163500,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,2,1,temporary,635000,152400,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,2,2,temporary,633000,152600,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,2,3,temporary,632900,153500,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,2,4,temporary,634400,154600,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,2,5,temporary,635000,154700,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,1,temporary,641460,141050,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,2,temporary,635900,134700,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,3,temporary,634730,140590,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,4,temporary,633910,143210,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,5,temporary,633560,144900,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,6,temporary,633900,145870,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,7,temporary,635000,145200,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,8,temporary,635430,142440,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
2009_887,3,9,temporary,640450,144200,2009,887,1,NA,NA,Suðurland,2009-11-10,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0887 um bann við línuveiðum fyrir Suðausturlandi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/fedf5c5453c7f6ba0025766a006a1116?OpenDocument
