rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2010_520,20,1,permanent,632200,202400,2010,520,1,NA,NA,Álseyjarbleyða,2010-06-24,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2010_0520 um bann við veiðum með fiskibotnvörpu á Álseyjarbleyðu,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/4d4bec1581eb9b250025774a0056cd8a?OpenDocument
2010_520,20,2,permanent,632200,203000,2010,520,1,NA,NA,Álseyjarbleyða,2010-06-24,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2010_0520 um bann við veiðum með fiskibotnvörpu á Álseyjarbleyðu,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/4d4bec1581eb9b250025774a0056cd8a?OpenDocument
2010_520,20,3,permanent,632600,202800,2010,520,1,NA,NA,Álseyjarbleyða,2010-06-24,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2010_0520 um bann við veiðum með fiskibotnvörpu á Álseyjarbleyðu,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/4d4bec1581eb9b250025774a0056cd8a?OpenDocument
2010_520,20,4,permanent,632600,202200,2010,520,1,NA,NA,Álseyjarbleyða,2010-06-24,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2010_0520 um bann við veiðum með fiskibotnvörpu á Álseyjarbleyðu,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/4d4bec1581eb9b250025774a0056cd8a?OpenDocument
