rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2003_230,1,1,permanent,632000,184900,2003,230,1,NA,NA,Kötlugrunn,2003-03-31,NA,1,0,0,0,0,0,0,0,0,NA,Reglugerð um bann við línuveiðum á Kötlugrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/ccfd74b91f97fac100256cfb004af2f2?OpenDocument
2003_230,1,2,permanent,632400,180500,2003,230,1,NA,NA,Kötlugrunn,2003-03-31,NA,1,0,0,0,0,0,0,0,0,NA,Reglugerð um bann við línuveiðum á Kötlugrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/ccfd74b91f97fac100256cfb004af2f2?OpenDocument
2003_230,1,3,permanent,631200,180500,2003,230,1,NA,NA,Kötlugrunn,2003-03-31,NA,1,0,0,0,0,0,0,0,0,NA,Reglugerð um bann við línuveiðum á Kötlugrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/ccfd74b91f97fac100256cfb004af2f2?OpenDocument
2003_230,1,4,permanent,631500,184100,2003,230,1,NA,NA,Kötlugrunn,2003-03-31,NA,1,0,0,0,0,0,0,0,0,NA,Reglugerð um bann við línuveiðum á Kötlugrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/ccfd74b91f97fac100256cfb004af2f2?OpenDocument
