rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2007_1041,1,1,permanent,662920,214500,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,2,permanent,670295,214500,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,3,permanent,670650,204850,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,4,permanent,670400,204200,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,5,permanent,665000,205617,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,6,permanent,665000,210848,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,7,permanent,663987,211902,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,8,permanent,663948,213500,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
2007_1041,1,9,permanent,661980,211860,2007,1041,1,NA,NA,Norðaustur af Horni,2007-11-11,2008-07-29,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2007_1041 breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Ísland",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/c27298f0dbe9a0c50025738e00418450?OpenDocument
