id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath
1,1,kórall,633627,144852,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
1,2,kórall,633670,144250,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
1,3,kórall,633754,144175,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
1,4,kórall,633722,144750,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
1,5,kórall,633666,144852,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
1,6,kórall,633627,144852,2005,1140,1,A,1,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,1,kórall,633700,143300,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,2,kórall,633500,143900,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,3,kórall,633500,145000,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,4,kórall,633570,145000,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,5,kórall,633570,144500,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,6,kórall,633700,143930,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,7,kórall,633800,143600,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
2,8,kórall,633700,143300,2005,1140,1,A,2,Hornafjarðardjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,1,kórall,631140,175700,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,2,kórall,631110,175700,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,3,kórall,631110,175340,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,4,kórall,631260,174670,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,5,kórall,631260,175000,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,6,kórall,631140,175450,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
3,7,kórall,631140,175700,2005,1140,1,B,1,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,1,kórall,631100,180000,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,2,kórall,631045,180000,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,3,kórall,631030,175200,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,4,kórall,631280,173800,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,5,kórall,631340,173800,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,6,kórall,631080,175400,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
4,7,kórall,631100,180000,2005,1140,1,B,2,Skaftárdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,1,kórall,631390,184400,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,2,kórall,631390,184660,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,3,kórall,631510,185000,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,4,kórall,631430,185300,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,5,kórall,631370,184970,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,6,kórall,631340,184430,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
5,7,kórall,631390,184400,2005,1140,1,C,1,Reynisdjúp,2005-12-14,NA,1,1,1,1,1,0,0,1,1,NA
