rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2002_162,1,1,permanent,642970,243300,2002,162,1,NA,NA,Malarrif,2002-03-03,NA,0,0,0,0,1,0,0,0,0,NA,Um bann við veiðum með fiskibotnvörpu suðvestur af Malarrifi.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/b075510aa14af70b00256b6f003ec9f5?OpenDocument
2002_162,1,2,permanent,643080,242640,2002,162,1,NA,NA,Malarrif,2002-03-03,NA,0,0,0,0,1,0,0,0,0,NA,Um bann við veiðum með fiskibotnvörpu suðvestur af Malarrifi.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/b075510aa14af70b00256b6f003ec9f5?OpenDocument
2002_162,1,3,permanent,643000,242560,2002,162,1,NA,NA,Malarrif,2002-03-03,NA,0,0,0,0,1,0,0,0,0,NA,Um bann við veiðum með fiskibotnvörpu suðvestur af Malarrifi.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/b075510aa14af70b00256b6f003ec9f5?OpenDocument
2002_162,1,4,permanent,642860,243200,2002,162,1,NA,NA,Malarrif,2002-03-03,NA,0,0,0,0,1,0,0,0,0,NA,Um bann við veiðum með fiskibotnvörpu suðvestur af Malarrifi.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/b075510aa14af70b00256b6f003ec9f5?OpenDocument
