rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2008_100,1,1,permanent,633900,203400,2008,100,1,NA,NA,Eyrabakkabugur,NA,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2008_0100 um bann við veiðum með fiskibotnvörpu í Eyrarbakkabug,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a9523a35bee8a67c002573e60047edc7?OpenDocument
2008_100,1,2,permanent,633200,203400,2008,100,1,NA,NA,Eyrabakkabugur,NA,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2008_0100 um bann við veiðum með fiskibotnvörpu í Eyrarbakkabug,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a9523a35bee8a67c002573e60047edc7?OpenDocument
2008_100,1,3,permanent,633500,210000,2008,100,1,NA,NA,Eyrabakkabugur,NA,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2008_0100 um bann við veiðum með fiskibotnvörpu í Eyrarbakkabug,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a9523a35bee8a67c002573e60047edc7?OpenDocument
2008_100,1,4,permanent,634600,210000,2008,100,1,NA,NA,Eyrabakkabugur,NA,NA,0,0,0,0,1,0,0,0,0,NA,Reglugerð 2008_0100 um bann við veiðum með fiskibotnvörpu í Eyrarbakkabug,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a9523a35bee8a67c002573e60047edc7?OpenDocument
