rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2012_34,1,1,permanent,651560,113100,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,2,permanent,651560,110700,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,3,permanent,650000,110700,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,4,permanent,644850,111550,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,5,permanent,644850,113450,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,6,permanent,650280,112620,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
2012_34,1,7,permanent,650810,112650,2012,34,1,NA,NA,Rauða torgið,2012-01-26,NA,0,0,0,0,1,0,0,0,0,NA,2012_0034 Reglugerð um bann við veiðum með fiskibotnvörpu á Rauða torgi,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/74cbd4e2cbb9a76d0025799d007c692e?OpenDocument
