rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2006_50,1,1,permanent,631608,203604,2006,50,8,NA,NA,Surtsey,2006-01-27,NA,0,0,0,1,1,0,0,1,1,NA,Auglýsing um friðland í Surtsey,http://stjornartidindi.is/Advert.aspx?ID=611b81d2-d439-4c98-a21e-23b8bb9abcf8
2006_50,1,2,permanent,631608,204000,2006,50,8,NA,NA,Surtsey,2006-01-27,NA,0,0,0,1,1,0,0,1,1,NA,Auglýsing um friðland í Surtsey,http://stjornartidindi.is/Advert.aspx?ID=611b81d2-d439-4c98-a21e-23b8bb9abcf8
2006_50,1,3,permanent,631752,204000,2006,50,8,NA,NA,Surtsey,2006-01-27,NA,0,0,0,1,1,0,0,1,1,NA,Auglýsing um friðland í Surtsey,http://stjornartidindi.is/Advert.aspx?ID=611b81d2-d439-4c98-a21e-23b8bb9abcf8
2006_50,1,4,permanent,632022,203531,2006,50,8,NA,NA,Surtsey,2006-01-27,NA,0,0,0,1,1,0,0,1,1,NA,Auglýsing um friðland í Surtsey,http://stjornartidindi.is/Advert.aspx?ID=611b81d2-d439-4c98-a21e-23b8bb9abcf8
2006_50,1,5,permanent,631815,203116,2006,50,8,NA,NA,Surtsey,2006-01-27,NA,0,0,0,1,1,0,0,1,1,NA,Auglýsing um friðland í Surtsey,http://stjornartidindi.is/Advert.aspx?ID=611b81d2-d439-4c98-a21e-23b8bb9abcf8
