rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2009_742,1,1,permanent,660700,190500,2009,742,1,NA,NA,Fljótagrunn,2009-09-01,NA,1,0,1,0,0,0,0,0,0,NA,Reglugerð 2009_0742 um bann við línu- og handfæraveiðum á Fljótagrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/6e1741e608ec20d000257625003e9b08?OpenDocument
2009_742,1,2,permanent,660700,193400,2009,742,1,NA,NA,Fljótagrunn,2009-09-01,NA,1,0,1,0,0,0,0,0,0,NA,Reglugerð 2009_0742 um bann við línu- og handfæraveiðum á Fljótagrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/6e1741e608ec20d000257625003e9b08?OpenDocument
2009_742,1,3,permanent,661400,192600,2009,742,1,NA,NA,Fljótagrunn,2009-09-01,NA,1,0,1,0,0,0,0,0,0,NA,Reglugerð 2009_0742 um bann við línu- og handfæraveiðum á Fljótagrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/6e1741e608ec20d000257625003e9b08?OpenDocument
2009_742,1,4,permanent,661400,191300,2009,742,1,NA,NA,Fljótagrunn,2009-09-01,NA,1,0,1,0,0,0,0,0,0,NA,Reglugerð 2009_0742 um bann við línu- og handfæraveiðum á Fljótagrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/6e1741e608ec20d000257625003e9b08?OpenDocument
2009_742,1,5,permanent,661100,185800,2009,742,1,NA,NA,Fljótagrunn,2009-09-01,NA,1,0,1,0,0,0,0,0,0,NA,Reglugerð 2009_0742 um bann við línu- og handfæraveiðum á Fljótagrunni,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/6e1741e608ec20d000257625003e9b08?OpenDocument
