rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2013_431,1,1,spawning,605876,272732,2013,431,5,NA,NA,Franshóll,2013-05-03,NA,1,1,1,1,1,1,1,1,1,NA,2013_0431 Reglugerð um stjórn veiða á djúpsjávartegundum á samningssvæði Norðaustur-Atlantshafsfiskveiðinefndarinnar (NEAFC),http://www.reglugerd.is/reglugerdir/eftir-raduneytum/sjavaroglandbunadar/nr/18614
2013_431,1,2,spawning,605602,273116,2013,431,5,NA,NA,Franshóll,2013-05-03,NA,1,1,1,1,1,1,1,1,1,NA,2013_0431 Reglugerð um stjórn veiða á djúpsjávartegundum á samningssvæði Norðaustur-Atlantshafsfiskveiðinefndarinnar (NEAFC),http://www.reglugerd.is/reglugerdir/eftir-raduneytum/sjavaroglandbunadar/nr/18614
2013_431,1,3,spawning,605976,274348,2013,431,5,NA,NA,Franshóll,2013-05-03,NA,1,1,1,1,1,1,1,1,1,NA,2013_0431 Reglugerð um stjórn veiða á djúpsjávartegundum á samningssvæði Norðaustur-Atlantshafsfiskveiðinefndarinnar (NEAFC),http://www.reglugerd.is/reglugerdir/eftir-raduneytum/sjavaroglandbunadar/nr/18614
2013_431,1,4,spawning,610300,273941,2013,431,5,NA,NA,Franshóll,2013-05-03,NA,1,1,1,1,1,1,1,1,1,NA,2013_0431 Reglugerð um stjórn veiða á djúpsjávartegundum á samningssvæði Norðaustur-Atlantshafsfiskveiðinefndarinnar (NEAFC),http://www.reglugerd.is/reglugerdir/eftir-raduneytum/sjavaroglandbunadar/nr/18614
