rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2009_810,1,1,permanent,651000,232400,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,2,permanent,651200,231000,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,3,permanent,650600,231200,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,4,permanent,650000,231100,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,5,permanent,645700,232900,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,6,permanent,650200,233000,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
2009_810,1,7,permanent,650300,232400,2009,810,1,NA,NA,Breiðarfjörður,2009-09-30,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð 2009_0810 um bann við línuveiðum á sunnanverðum Breiðafirði,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/aa0d47377abc977400256a090053ff91/f582cd06865034e900257646004d61e8?OpenDocument
