rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2007_310,1,1,mixture,653600,263500,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,2,mixture,652900,264600,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,3,mixture,643800,264600,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,4,mixture,643800,264000,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,5,mixture,640050,260766,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,6,mixture,641000,253700,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,7,mixture,635300,250700,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,8,mixture,633800,254500,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,9,mixture,630650,244430,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,10,mixture,631170,242585,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,11,mixture,630900,242400,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,12,mixture,630600,242570,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,13,mixture,630300,243200,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,14,mixture,630140,243800,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,15,mixture,630100,243780,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,16,mixture,625870,244470,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,17,mixture,631900,253200,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
2007_310,1,18,mixture,632400,254500,2007,310,1,1,NA,Vesturland,2007-04-04,NA,0,0,0,0,1,1,0,0,0,NA,Reglugerð um friðunarsvæði við Ísland,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/2d8cdab9a540c73600256a0d0055eeb1/24d05c44a983604e002572c30030a382?OpenDocument
