rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2008_752,1,1,permanent,664530,214500,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,2,permanent,670295,214500,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,3,permanent,670650,204850,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,4,permanent,670400,204200,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,5,permanent,665000,205617,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,6,permanent,665000,210848,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
2008_752,1,7,permanent,663987,211902,2008,752,1,NA,NA,Norðaustur af Horni,2008-07-30,NA,1,0,0,0,1,1,0,0,0,NA,"Reglugerð 2008_0752 um breytingu á reglugerð nr. 310, 4. apríl 2007, um friðunarsvæði við Íslands",http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/dc09acf8072cf9b7002574a2004fbf87?OpenDocument
