rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,closed1,closed2,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2003_68,1,1,permanent,670700,172400,2003,68,1,NA,NA,Sléttugrunn,2003-02-07,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð um bann við veiðum með línu og fiskibotnvörpu á Sléttugrunni.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a5afb93a22d9571900256cc40055cb31?OpenDocument
2003_68,1,2,permanent,670700,172000,2003,68,1,NA,NA,Sléttugrunn,2003-02-07,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð um bann við veiðum með línu og fiskibotnvörpu á Sléttugrunni.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a5afb93a22d9571900256cc40055cb31?OpenDocument
2003_68,1,3,permanent,665100,170400,2003,68,1,NA,NA,Sléttugrunn,2003-02-07,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð um bann við veiðum með línu og fiskibotnvörpu á Sléttugrunni.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a5afb93a22d9571900256cc40055cb31?OpenDocument
2003_68,1,4,permanent,665100,172000,2003,68,1,NA,NA,Sléttugrunn,2003-02-07,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,Reglugerð um bann við veiðum með línu og fiskibotnvörpu á Sléttugrunni.,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a5afb93a22d9571900256cc40055cb31?OpenDocument
