rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2007_883,1,1,permanent,662920,214500,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,2,permanent,670295,214500,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,3,permanent,670650,204850,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,4,permanent,670400,204200,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,5,permanent,663450,211172,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,6,permanent,663100,212200,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,7,permanent,662000,211300,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
2007_883,1,8,permanent,661980,211860,2007,883,1,NA,NA,Norðaustur af Horni,2007-10-04,2007-11-09,1,0,0,0,1,1,0,0,0,R2007_1048,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/a2e611ef8b30cef40025736e005ba1ac?OpenDocument
